TRANSACTION_ID,STORE_ID,TRANSACTION_DATE,PRODUCT_ID,QUANTITY,DISCOUNT_PERCENT
110606,104,4/20/2024,P_049,2,0
110606,108,4/20/2024,P_012,5,20
110606,108,4/20/2024,P_009,1,10
110607,103,4/16/2024,P_020,1,15
110607,103,4/16/2024,P_049,4,15
110608,106,4/16/2024,P_025,3,0
110609,102,4/14/2024,P_002,3,20
110610,104,04-01-2024,P_033,5,15
110611,107,04-08-2024,P_003,1,0
110612,103,4/27/2024,P_022,5,10
110613,103,4/27/2024,P_034,5,0
110613,104,4/27/2024,P_047,1,20
110614,103,4/16/2024,P_004,3,0
110615,104,04-12-2024,P_030,5,20
110616,101,4/28/2024,P_037,5,0
110616,106,4/28/2024,P_031,3,15
110617,105,4/29/2024,P_032,1,10
110617,108,4/29/2024,P_018,1,5
110618,103,4/26/2024,P_040,2,5
110618,107,4/26/2024,P_027,2,5
110618,102,4/26/2024,P_017,1,0
110619,107,4/16/2024,P_029,2,5
110619,103,4/16/2024,P_050,1,20
110620,101,04-07-2024,P_036,5,15
110621,108,4/14/2024,P_014,4,10
110621,107,4/14/2024,P_015,4,5
110622,107,4/23/2024,P_022,3,0
110623,105,4/30/2024,P_022,2,5
110624,102,4/20/2024,P_006,3,15
110625,105,04-08-2024,P_044,4,20
110626,105,04-06-2024,P_032,4,10
110627,108,4/20/2024,P_013,2,15
110627,102,4/20/2024,P_030,3,0
110628,104,4/19/2024,P_026,5,5
110629,107,4/23/2024,P_009,4,20
110629,101,4/23/2024,P_001,2,0
110629,108,4/23/2024,P_045,5,0
110630,108,04-07-2024,P_005,5,10
110630,104,04-07-2024,P_026,3,20
110630,106,04-07-2024,P_029,4,20
110631,106,4/30/2024,P_005,4,5
110632,107,4/21/2024,P_036,1,20
110632,107,4/21/2024,P_010,5,15
110633,102,04-10-2024,P_019,2,0
110634,104,4/13/2024,P_016,2,0
110635,104,4/27/2024,P_024,4,5
110635,103,4/27/2024,P_033,1,20
110636,104,04-05-2024,P_003,1,0
110637,104,04-11-2024,P_029,5,15
110637,107,04-11-2024,P_046,2,20
110638,107,04-03-2024,P_017,2,20
110639,106,4/26/2024,P_034,3,0
110639,107,4/26/2024,P_004,2,20
110640,105,04-11-2024,P_036,1,20
110641,102,04-04-2024,P_037,1,10
110641,101,04-04-2024,P_035,4,5
110641,101,04-04-2024,P_039,5,15
110642,107,4/13/2024,P_025,3,0
110643,106,4/17/2024,P_020,1,20
110644,104,4/17/2024,P_012,5,0
110644,103,4/17/2024,P_012,1,15
110645,103,4/20/2024,P_047,5,20
110645,103,4/20/2024,P_012,1,15
110645,103,4/20/2024,P_021,4,20
110646,107,4/25/2024,P_045,5,5
110646,102,4/25/2024,P_039,2,20
110647,103,4/29/2024,P_011,2,15
110647,101,4/29/2024,P_010,2,15
110648,107,04-06-2024,P_046,5,5
110648,101,04-06-2024,P_050,3,5
110649,105,4/29/2024,P_038,3,20
110650,101,4/20/2024,P_007,1,20
110651,104,04-06-2024,P_031,3,20
110651,104,04-06-2024,P_039,3,5
110652,106,04-07-2024,P_003,5,20
110652,102,04-07-2024,P_028,2,15
110652,104,04-07-2024,P_008,5,0
110653,105,04-03-2024,P_028,1,15
110653,101,04-03-2024,P_025,1,20
110654,105,04-12-2024,P_032,5,20
110654,107,04-12-2024,P_021,5,10
110654,104,04-12-2024,P_037,4,10
110655,102,4/25/2024,P_047,1,0
110655,106,4/25/2024,P_015,1,20
110656,108,04-03-2024,P_023,1,10
110656,104,04-03-2024,P_010,4,15
110657,104,4/26/2024,P_036,2,5
110658,104,4/28/2024,P_037,1,15
110659,107,4/22/2024,P_017,1,0
110659,105,4/22/2024,P_020,5,15
110659,108,4/22/2024,P_029,5,10
110660,103,4/18/2024,P_005,1,5
110660,102,4/18/2024,P_030,2,10
110661,108,4/23/2024,P_033,1,5
110662,103,4/17/2024,P_021,2,0
110662,106,4/17/2024,P_027,1,20
110662,101,4/17/2024,P_034,1,10
110663,108,4/21/2024,P_006,4,0
110664,106,04-05-2024,P_003,5,20
110665,102,04-10-2024,P_019,1,20
110665,106,04-10-2024,P_009,1,10
110666,106,04-04-2024,P_001,1,5
110667,107,04-08-2024,P_026,2,5
